Entry	Entry name	Protein names	Gene ontology (biological process)
O22785	PR19B_ARATH	Pre-mRNA-processing factor 19 homolog 2 (EC 2.3.2.27) (MOS4-associated complex protein 3B) (MAC protein 3B) (Plant U-box protein 60) (RING-type E3 ubiquitin transferase PRP19 2) (U-box domain-containing protein 60)	DNA repair [GO:0006281]; defense response to bacterium [GO:0042742]; generation of catalytic spliceosome for first transesterification step [GO:0000349]; innate immune response [GO:0045087]; protein K63-linked ubiquitination [GO:0070534]
Q6BS60	POB3_DEBHA	FACT complex subunit POB3 (Facilitates chromatin transcription complex subunit POB3)	DNA repair [GO:0006281]; DNA replication-independent nucleosome organization [GO:0034724]; DNA-dependent DNA replication [GO:0006261]; positive regulation of RNA polymerase II transcriptional preinitiation complex assembly [GO:0045899]
P68411	SCX2_TITST	Toxin Tst2 (P-Mice-beta* NaTx5.2) (Tityustoxin II) (TsTX-II) (Toxin III-8)	defense response [GO:0006952]
P39046	MUR2_ENTHA	"Muramidase-2 (EC 3.2.1.17) (1,4-beta-N-acetylmuramoylhydrolase) (Lysozyme) (Peptidoglycan hydrolase) (Pg-hydrolase 2)"	cell wall organization [GO:0071555]; cytolysis [GO:0019835]; defense response to bacterium [GO:0042742]; division septum assembly [GO:0000917]; metabolic process [GO:0008152]
Q5WAZ9	UNG_BACSK	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)	base-excision repair [GO:0006284]
P52569	CTR2_HUMAN	Cationic amino acid transporter 2 (CAT-2) (CAT2) (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2)	L-arginine import across plasma membrane [GO:0097638]; L-ornithine transmembrane transport [GO:1903352]; amino acid transport [GO:0006865]; cellular amino acid metabolic process [GO:0006520]; macrophage activation [GO:0042116]; nitric oxide biosynthetic process [GO:0006809]; nitric oxide production involved in inflammatory response [GO:0002537]; regulation of inflammatory response [GO:0050727]; regulation of macrophage activation [GO:0043030]
P9WMJ9	DNAK_MYCTU	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	cellular response to heat [GO:0034605]; cellular response to superoxide [GO:0071451]; cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; interaction with host via substance in symbiont surface [GO:0044044]; positive regulation of plasminogen activation [GO:0010756]; positive regulation of transcription regulatory region DNA binding [GO:2000679]; protein autophosphorylation [GO:0046777]; protein refolding [GO:0042026]; response to antibiotic [GO:0046677]; response to copper ion [GO:0046688]; response to heat [GO:0009408]; response to unfolded protein [GO:0006986]
O94668	NSE5_SCHPO	Non-structural maintenance of chromosome element 5 (Non-SMC element 5)	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; cellular response to DNA damage stimulus [GO:0006974]; replication fork protection [GO:0048478]
O31806	YNDB_BACSU	Uncharacterized protein YndB	
Q9I7F7	ACKL_DROME	Activated Cdc42 kinase-like (EC 2.7.10.2) (Tyrosine-protein kinase PR2)	"dorsal closure, amnioserosa morphology change [GO:0046664]; head involution [GO:0008258]; myosin filament assembly [GO:0031034]; protein phosphorylation [GO:0006468]"
Q9CLY2	MUTH_PASMU	DNA mismatch repair protein MutH (Methyl-directed mismatch repair protein)	DNA modification [GO:0006304]; mismatch repair [GO:0006298]
Q9FWW9	GSXL2_ARATH	Flavin-containing monooxygenase FMO GS-OX-like 2 (EC 1.8.-.-) (Flavin-monooxygenase glucosinolate S-oxygenase-like 2)	defense response to fungus [GO:0050832]
Q9Y3Z3	SAMH1_HUMAN	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 (dNTPase) (EC 3.1.5.-) (Dendritic cell-derived IFNG-induced protein) (DCIP) (Monocyte protein 5) (MOP-5) (SAM domain and HD domain-containing protein 1) (hSAMHD1)	DNA strand resection involved in replication fork processing [GO:0110025]; cellular response to DNA damage stimulus [GO:0006974]; dATP catabolic process [GO:0046061]; dGTP catabolic process [GO:0006203]; defense response to virus [GO:0051607]; deoxyribonucleotide catabolic process [GO:0009264]; double-strand break repair via homologous recombination [GO:0000724]; immune response [GO:0006955]; negative regulation of type I interferon-mediated signaling pathway [GO:0060339]; protein homotetramerization [GO:0051289]; regulation of innate immune response [GO:0045088]; somatic hypermutation of immunoglobulin genes [GO:0016446]; type I interferon signaling pathway [GO:0060337]
Q9EPA7	NMNA1_MOUSE	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1 (NMN/NaMN adenylyltransferase 1) (EC 2.7.7.1) (EC 2.7.7.18) (Nicotinamide mononucleotide adenylyltransferase 1) (NMN adenylyltransferase 1) (Nicotinate-nucleotide adenylyltransferase 1) (NaMN adenylyltransferase 1)	ATP generation from poly-ADP-D-ribose [GO:1990966]; NAD biosynthetic process [GO:0009435]; negative regulation of apoptotic DNA fragmentation [GO:1902511]; negative regulation of neuron apoptotic process [GO:0043524]; positive regulation of MAPK cascade [GO:0043410]; response to wounding [GO:0009611]
Q6AYH2	IN80E_RAT	INO80 complex subunit E (Coiled-coil domain-containing protein 95)	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; chromatin remodeling [GO:0006338]
Q9M1D0	BGL16_ARATH	Beta-glucosidase 16 (AtBGLU16) (EC 3.2.1.21) (Protein YELLOW-LEAF-SPECIFIC GENE 1)	carbohydrate metabolic process [GO:0005975]; glucosinolate catabolic process [GO:0019762]; response to salt stress [GO:0009651]
Q043G5	ADDB_LACGA	ATP-dependent helicase/deoxyribonuclease subunit B (EC 3.1.-.-) (EC 3.6.4.12) (ATP-dependent helicase/nuclease RexB)	double-strand break repair via homologous recombination [GO:0000724]
Q12280	IQG1_YEAST	Ras GTPase-activating-like protein IQG1 (Cytokinesis protein 1) (IQGAP-related protein 1)	mitotic actomyosin contractile ring assembly actin filament organization [GO:1903479]; regulation of GTPase activity [GO:0043087]; regulation of mitotic actomyosin contractile ring contraction [GO:1903471]; signal transduction [GO:0007165]
Q5RGL7	SMY2B_DANRE	N-lysine methyltransferase SMYD2-B (EC 2.1.1.-) (Histone methyltransferase SMYD2-B) (EC 2.1.1.43) (SET and MYND domain-containing protein 2B)	"heart contraction [GO:0060047]; heart development [GO:0007507]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of transcription by RNA polymerase II [GO:0000122]; peptidyl-lysine dimethylation [GO:0018027]; peptidyl-lysine monomethylation [GO:0018026]; regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043516]"
Q6L440	R1A3_SOLDE	Putative late blight resistance protein homolog R1A-3	plant-type hypersensitive response [GO:0009626]
Q4WQ54	PSF3_ASPFU	DNA replication complex GINS protein psf3	DNA replication [GO:0006260]
Q80UL9	JAML_MOUSE	Junctional adhesion molecule-like (Dendritic cell-specific protein CREA7) (mCrea7)	gamma-delta T cell activation [GO:0046629]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; monocyte extravasation [GO:0035696]; neutrophil chemotaxis [GO:0030593]; neutrophil extravasation [GO:0072672]; positive regulation of epithelial cell proliferation involved in wound healing [GO:0060054]
B9KAB9	DNAJ_THENN	Chaperone protein DnaJ	DNA replication [GO:0006260]; protein folding [GO:0006457]; response to heat [GO:0009408]
A6QBG7	DNAJ_SULNB	Chaperone protein DnaJ	DNA replication [GO:0006260]; protein folding [GO:0006457]; response to heat [GO:0009408]
Q61249	IGBP1_MOUSE	Immunoglobulin-binding protein 1 (Alpha4 phosphoprotein) (CD79a-binding protein 1) (Lymphocyte signal transduction molecule alpha 4) (Protein phosphatase 2/4/6 regulatory subunit) (p52)	B cell activation [GO:0042113]; negative regulation of apoptotic signaling pathway [GO:2001234]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of protein dephosphorylation [GO:0035308]; negative regulation of stress-activated MAPK cascade [GO:0032873]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of dephosphorylation [GO:0035306]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of microtubule-based movement [GO:0060632]; response to interleukin-1 [GO:0070555]; response to tumor necrosis factor [GO:0034612]
P62985	RL40_CHICK	Ubiquitin-60S ribosomal protein L40 (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40 (CEP52)] (Fragment)	DNA repair [GO:0006281]; translation [GO:0006412]
Q9JIM0	MRE11_RAT	Double-strand break repair protein MRE11 (EC 3.1.-.-) (Double-strand break repair protein MRE11A) (Meiotic recombination 11 homolog 1) (MRE11 homolog 1) (Meiotic recombination 11 homolog A) (MRE11 homolog A)	DNA strand resection involved in replication fork processing [GO:0110025]; cellular response to DNA damage stimulus [GO:0006974]; double-strand break repair via homologous recombination [GO:0000724]; double-strand break repair via nonhomologous end joining [GO:0006303]; heart development [GO:0007507]; intra-S DNA damage checkpoint [GO:0031573]; meiotic DNA double-strand break formation [GO:0042138]; mitochondrial double-strand break repair via homologous recombination [GO:0097552]; mitotic G2 DNA damage checkpoint [GO:0007095]; negative regulation of viral entry into host cell [GO:0046597]; telomere maintenance [GO:0000723]
Q54K57	TPSA_DICDI	"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] A (EC 2.4.1.15) (Trehalose-6-phosphate synthase A) (UDP-glucose-glucosephosphate glucosyltransferase A)"	dephosphorylation [GO:0016311]; trehalose biosynthetic process [GO:0005992]; trehalose metabolism in response to stress [GO:0070413]
Q9P2K8	E2AK4_HUMAN	eIF-2-alpha kinase GCN2 (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 4) (GCN2-like protein)	DNA damage checkpoint [GO:0000077]; T cell activation involved in immune response [GO:0002286]; adaptive immune response [GO:0002250]; cell cycle arrest [GO:0007050]; cellular response to UV [GO:0034644]; cellular response to amino acid starvation [GO:0034198]; cellular response to cold [GO:0070417]; cellular response to leucine starvation [GO:1990253]; defense response to virus [GO:0051607]; eiF2alpha phosphorylation in response to endoplasmic reticulum stress [GO:0036492]; induction by virus of host autophagy [GO:0039520]; learning [GO:0007612]; long-term memory [GO:0007616]; negative regulation by host of viral genome replication [GO:0044828]; negative regulation of CREB transcription factor activity [GO:0032792]; negative regulation of neuron differentiation [GO:0045665]; negative regulation of translational initiation [GO:0045947]; negative regulation of translational initiation in response to stress [GO:0032057]; neuron projection extension [GO:1990138]; positive regulation of adaptive immune response [GO:0002821]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of translational initiation in response to starvation [GO:0071264]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of eIF2 alpha phosphorylation by amino acid starvation [GO:0060733]; regulation of feeding behavior [GO:0060259]; regulation of translational initiation [GO:0006446]; regulation of translational initiation by eIF2 alpha phosphorylation [GO:0010998]; viral translation [GO:0019081]
Q3B0S2	MUTS_SYNS9	DNA mismatch repair protein MutS	mismatch repair [GO:0006298]
P34652	CALX_CAEEL	Calnexin (CeCNX-1)	endoplasmic reticulum unfolded protein response [GO:0030968]; multicellular organism development [GO:0007275]; protein folding [GO:0006457]; response to heat [GO:0009408]
A4STD1	FPG_AERS4	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)	base-excision repair [GO:0006284]; nucleotide-excision repair [GO:0006289]
C5B9D8	FPG_EDWI9	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)	base-excision repair [GO:0006284]; nucleotide-excision repair [GO:0006289]
Q8BHL6	FAP24_MOUSE	Fanconi anemia core complex-associated protein 24 (Fanconi anemia-associated protein of 24 kDa)	interstrand cross-link repair [GO:0036297]
Q6UXG2	K1324_HUMAN	UPF0577 protein KIAA1324 (Estrogen-induced gene 121 protein)	autophagosome assembly [GO:0000045]; cellular response to starvation [GO:0009267]; positive regulation of autophagosome assembly [GO:2000786]; positive regulation of vacuole organization [GO:0044090]
Q9VND8	RHEB_DROME	GTP-binding protein Rheb homolog	"G1/S transition of mitotic cell cycle [GO:0000082]; apical protein localization [GO:0045176]; carbohydrate metabolic process [GO:0005975]; cholesterol homeostasis [GO:0042632]; insulin receptor signaling pathway [GO:0008286]; lipid metabolic process [GO:0006629]; multicellular organism growth [GO:0035264]; negative regulation of TORC2 signaling [GO:1903940]; negative regulation of autophagy [GO:0010507]; negative regulation of lipophagy [GO:1904503]; positive regulation of TORC1 signaling [GO:1904263]; positive regulation of axon guidance [GO:1902669]; positive regulation of cell death [GO:0010942]; positive regulation of cell growth [GO:0030307]; positive regulation of cell size [GO:0045793]; positive regulation of ribosome biogenesis [GO:0090070]; positive regulation of synaptic growth at neuromuscular junction [GO:0045887]; positive regulation of translation [GO:0045727]; regulation of autophagy [GO:0010506]; regulation of reactive oxygen species metabolic process [GO:2000377]; response to starvation [GO:0042594]; small GTPase mediated signal transduction [GO:0007264]; terminal branching, open tracheal system [GO:0007430]"
O75771	RA51D_HUMAN	DNA repair protein RAD51 homolog 4 (R51H3) (RAD51 homolog D) (RAD51-like protein 3) (TRAD)	DNA repair [GO:0006281]; double-strand break repair via homologous recombination [GO:0000724]; interstrand cross-link repair [GO:0036297]; reciprocal meiotic recombination [GO:0007131]; regulation of cell cycle [GO:0051726]; strand invasion [GO:0042148]; telomere maintenance [GO:0000723]
